Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1635470477.379341,0,0,2.0,34.2
1635470484.4262044,0,0,2.0,32.4
1635470491.725566,0,0,3.0,31.8
1635470498.2442837,0,0,3.0,31.8
1635470505.1964486,0,0,3.0,30.0
1635470512.1260827,0,0,2.0,30.8
1635470519.1703854,0,0,2.0,30.2
1635470527.195695,0,0,1.0,34.0
1635470534.2376554,0,0,1.0,34.0
1635470541.0355675,0,0,1.0,30.4
1635470548.0400798,0,0,1.0,29.6
1635470555.0618727,0,0,2.0,31.8
1635470561.9834921,0,0,2.0,29.6
1635470569.122213,0,0,2.0,30.6
1635470576.2930915,0,0,2.0,27.0
1635470583.4163823,0,0,2.0,30.2
1635470590.5576031,0,0,3.0,26.6
1635470599.068618,0,0,3.0,30.2
1635470606.482845,0,0,3.0,25.0
1635470613.7434998,0,0,3.0,25.8
1635470621.000382,0,0,3.0,26.8
1635470628.4419267,0,0,3.0,28.8
1635470635.9084015,0,0,3.0,26.4
1635470643.3444,0,0,3.0,26.2
1635470650.9545724,0,0,3.0,25.8
1635470658.4466126,0,0,3.0,23.4
1635470666.021494,0,0,3.0,25.0
1635470673.7496707,0,0,3.0,27.0
1635470682.632448,0,0,4.0,23.8
1635470690.533633,0,0,4.0,27.0
1635470698.506979,0,0,4.0,26.6
1635470706.5149517,0,0,4.0,23.4
1635470714.5741115,0,0,4.0,25.0
1635470722.683527,0,0,3.0,23.8
1635470730.7251575,0,0,3.0,22.6
1635470738.7084126,0,0,4.0,24.6
1635470746.7145598,0,0,4.0,25.4
1635470754.9643908,0,0,4.0,23.8
1635470763.0853608,0,0,3.5,25.0
1635470771.326708,0,0,4.0,29.6
1635470779.546058,0,0,4.0,25.6
1635470787.8168895,0,0,4.0,26.2
1635470796.0737193,0,0,3.0,27.4
1635470804.4177353,0,0,3.0,30.4
1635470812.9097376,0,0,4.0,22.4
1635470821.273811,0,0,4.0,26.6
1635470829.8450458,0,0,3.0,28.6
1635470838.1721377,0,0,3.0,26.2
1635470846.734357,0,0,3.0,29.0
1635470855.321942,0,0,3.0,23.4
1635470864.0768983,0,0,3.0,22.8
1635470872.733092,0,0,4.0,24.8
1635470881.2423346,0,0,4.0,26.8
1635470893.275966,0,0,4.0,27.2
1635470902.0970497,0,0,4.0,30.2
1635470911.0396397,0,0,4.0,34.6
1635470920.0444548,0,0,2.0,33.0
1635470928.8394413,0,0,2.0,27.0
1635470937.7892585,0,0,3.0,27.0
1635470946.672304,0,0,3.0,29.8
1635470955.791986,0,0,3.0,29.0
1635470966.353747,0,0,3.0,26.0
1635470975.4819632,0,0,3.0,28.8
1635470988.8188043,0,0,2.5,26.2
1635470998.0272064,0,0,2.0,31.2
1635471007.3499029,0,0,3.0,25.0
1635471017.8909285,0,0,3.0,30.8
1635471027.3348935,0,0,3.0,28.2
1635471036.6607661,0,0,3.0,23.8
1635471046.1289098,0,0,3.0,26.4
1635471057.7802627,0,0,3.0,26.6
1635471067.313319,0,0,3.0,24.6
1635471076.792517,0,0,3.0,24.6
1635471086.4080744,0,0,3.0,21.4
1635471096.1513543,0,0,3.0,19.4
1635471106.6041849,0,0,3.0,27.4
1635471116.2640047,0,0,4.0,24.2
1635471126.5226336,0,0,5.0,28.8
1635471136.3803403,0,0,5.0,28.2
1635471146.8489144,0,0,5.0,32.0
